catprofesi,despersonalizacion,agotamiento,realizacion,Lid_total,CT_total,DEMA_riesgo,DEMA_carga,Dem_sitio,Dem_emo,Reco_total,EXT_casa,EXT_zona,inhibicion_Ac,inhibicion_(Tmp_RTA)
266,1,13,18,48,38,30,13,17,14,14,22,12,21,0.97,101.68
267,1,8,39,42,38,30,13,21,16,11,30,10,25,1.0,11.56
268,1,8,17,46,37,24,8,23,15,8,30,20,21,0.96,17.95
269,1,0,18,45,42,25,11,20,17,6,30,10,25,0.96,14.57
270,1,9,18,48,42,23,4,19,20,17,25,19,18,0.98,137.24
271,0,7,11,48,36,27,10,21,14,10,23,16,25,0.98,73.36
272,1,0,3,48,18,28,8,20,19,12,29,15,20,1.0,18.14
273,1,0,4,47,37,26,13,25,20,12,24,17,21,0.98,90.04
274,1,6,13,48,37,24,6,21,20,17,27,17,18,0.98,50.11
275,1,8,20,42,27,23,12,18,20,13,29,17,13,0.96,142.91
276,1,17,6,47,34,30,14,17,17,17,19,16,20,1.0,30.37
277,1,5,20,32,37,27,12,25,13,12,27,15,21,0.94,59.14
278,1,0,2,48,35,27,5,21,17,9,24,17,23,1.0,70.52
279,0,11,10,45,41,25,13,15,17,15,29,16,21,0.96,18.14
280,1,4,8,30,45,20,10,19,14,19,24,17,22,0.79,104.22
281,0,6,32,48,37,27,13,17,13,9,27,20,25,0.95,121.67
282,1,0,24,48,37,23,9,15,18,12,25,20,20,0.99,61.1
283,1,5,1,43,40,21,8,17,14,14,30,19,25,0.99,190.02
284,1,5,6,47,40,27,11,21,20,9,29,20,21,0.98,6.3
285,1,9,3,41,45,24,8,20,20,14,30,10,21,0.98,4.2
286,1,6,15,32,45,24,4,22,16,12,27,20,25,0.97,157.25
287,1,2,14,48,37,24,10,21,17,13,30,11,23,0.98,146.54
288,1,0,1,33,44,28,20,22,11,12,20,18,21,0.99,55.97
289,1,9,13,40,33,28,8,20,20,8,24,20,25,1.0,19.5
290,1,8,12,37,33,27,9,16,17,12,19,14,16,1.0,26.14
291,1,0,5,48,34,29,14,23,20,10,30,18,22,0.99,74.37
292,1,8,23,46,37,27,8,15,16,12,28,15,18,0.97,26.32
293,1,5,4,46,42,20,7,20,7,15,29,11,17,0.96,42.27
294,1,18,22,34,27,28,9,25,15,10,27,7,19,0.96,43.68
295,0,7,8,47,37,28,12,23,20,11,21,19,18,1.0,75.46
296,1,10,0,48,35,29,7,20,15,10,28,14,21,0.99,23.82
297,1,0,10,39,39,28,13,17,18,16,27,14,23,1.0,15.21
298,1,3,0,41,45,25,12,17,20,6,27,11,19,0.97,47.79
299,1,30,18,47,16,29,12,15,18,12,29,15,19,1.0,36.05
